Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
ID205588,205588,0,17.44845772,10.92496696,18.77919082,0,192,64,0.25,1,,24.16393443,23,16,35,1474,3.963080989,309.1147541,312,216,425,18856,49.93398921,72.55737705,55,24,155,4426,38.73737411,,,-0.115725607,-1.595905295,0.036673268,0.437986956,0.627686994,1.444620019
ID205683,205683,0,18.52179909,10.91227977,18.79028432,0,195,65,0.25,1,,24.26229508,24,17,34,1480,3.76342769,308.7868852,300,214,427,18836,47.88114269,75.16393443,61,24,157,4585,41.15708944,,,-0.108726596,-1.572907357,0.05219181,0.639781643,0.644985552,1.432130997
ID205974,205974,0,15.66710758,10.94408678,18.83939667,0,198,66,0.25,1,,25.03278689,25,19,33,1527,2.82823392,316.442623,316,229,410,19303,42.55448452,67.50819672,56,20,167,4118,37.84337148,,,-0.072251641,-1.378609905,0.041310152,0.59000587,0.615924516,1.359887879
ID205784,205784,0,20.64595795,10.90896951,18.8673747,0,201,67,0.25,1,,26.57377049,27,17,37,1621,4.306812496,306.5737705,307,243,380,18701,36.73937897,84.62295082,78,22,196,5162,45.62644114,,,-0.076605888,-1.023769681,0.040084664,0.643195104,0.675735995,1.49579825
ID206061,206061,0,16.65710831,10.88080325,18.85066007,0,204,68,0.25,1,,27.06557377,27,17,37,1651,4.711223664,302.6065574,301,224,421,18459,49.05924265,70.04918033,68,22,150,4273,37.54971204,,,-0.054528535,-0.662657189,0.040100809,0.475625567,0.637961695,1.453172949
ID205879,205879,0,19.72904587,10.86925993,18.85626597,0,207,69,0.25,1,,24.95081967,25,17,39,1522,4.634746413,302.4918033,295,232,435,18452,46.19401944,85,77,33,229,5185,45.54301996,,,-0.098688605,-1.178910898,0.031659446,0.401906289,0.655233459,1.477623895
ID206344,206344,0,17.28528023,10.87012818,18.81766965,0,210,70,0.25,1,,25.8852459,25,19,33,1579,3.230574565,312.2295082,316,213,401,19046,43.51413312,72.19672131,63,22,150,4404,38.59784954,,,-0.08405843,-1.470672674,0.045095906,0.619233692,0.62430387,1.437848438
ID206161,206161,0,18.17362404,10.89168123,18.82643639,0,213,71,0.25,1,,23.2295082,23,17,29,1417,2.558602761,332.557377,338,227,440,20286,46.05233421,75.68852459,62,20,187,4617,43.51112539,,,-0.113761305,-2.330832169,0.060278904,0.821088866,0.642544048,1.360960746
ID206248,206248,0,13.80726147,10.87450583,18.75248685,0,216,72,0.25,1,,27.21311475,26,20,46,1660,5.193312219,288.7540984,277,189,381,17614,46.17634883,63.24590164,54,17,139,3858,31.64998986,,,-0.105810122,-1.240113066,0.014864512,0.183181304,0.595850368,1.492223422
ID206435,206435,0,16.01596832,10.92349575,18.80299088,0,219,73,0.25,1,,24.96721311,25,14,37,1523,5.799331034,299.9508197,294,226,404,18297,43.75630478,67.98360656,60,25,140,4147,35.37583535,,,-0.11675816,-1.138229335,0.029790243,0.396610931,0.621826052,1.473642483
ID206523,206523,0,15.77625561,10.91521279,18.77144687,0,222,74,0.25,1,,26.40983607,25,19,36,1611,4.32580262,290.1803279,294,211,385,17701,43.14800428,68.2295082,56,24,163,4162,35.73298823,,,-0.096233349,-1.300164464,0.024007699,0.315343999,0.610309328,1.447350113
ID206803,206803,0,15.44387817,10.95808617,18.86138005,0,225,75,0.25,1,,25.62295082,25,15,35,1563,4.111625528,316.3770492,323,214,392,19299,45.27330484,68.50819672,64,24,157,4179,33.92080136,,,-0.075385735,-1.016188249,0.05672803,0.750286695,0.616989843,1.541264413
ID206610,206610,0,14.32602406,10.96840589,18.79902996,0,228,76,0.25,1,,26.45901639,27,20,40,1614,5.011898411,280.6065574,276,199,402,17117,39.55050724,63.95081967,56,25,134,3901,31.64144236,,,-0.113903281,-1.35723965,0.034269406,0.470163218,0.596237342,1.509876913
ID206712,206712,0,14.32239819,10.98768611,18.80933479,0,231,77,0.25,1,,26.72131148,25,18,39,1630,4.736845461,282.7868852,286,211,350,17250,36.74466617,63.37704918,54,23,134,3866,31.78215639,,,-0.113900592,-1.450247358,0.038968683,0.577308867,0.591393021,1.48209962
ID206993,206993,0,15.23192024,10.98918051,18.84404324,0,234,78,0.25,1,,25.59016393,25,18,39,1561,4.730669611,290.704918,300,176,359,17733,42.66120184,68.85245902,60,21,134,4200,31.79876102,,,-0.096050551,-1.149571964,0.055254841,0.713612207,0.606736469,1.635289698
ID206909,206909,0,13.41981888,10.95528769,18.84080356,0,237,79,0.25,1,,25.6557377,25,19,39,1565,3.893949349,271.5901639,262,192,375,16567,44.73044342,60.59016393,54,19,145,3696,31.55596988,,,-0.115614806,-1.722646614,0.023498442,0.278799958,0.589147315,1.423673282
ID207187,207187,0,15.46192455,10.93536338,18.87828848,0,240,80,0.25,1,,26.44262295,26,18,38,1613,4.846045089,289.0819672,290,211,381,17634,41.1137832,67.62295082,61,22,138,4125,33.79307815,,,-0.106385256,-1.299206528,0.033018072,0.449476867,0.611744869,1.519044162
ID207283,207283,0,15.39179993,10.95740627,18.85018613,0,243,81,0.25,1,,24.90163934,23,17,37,1519,4.901377079,294.9836066,288,201,391,17994,52.86350089,66.24590164,55,25,154,4041,34.28053662,,,-0.149874712,-1.791369792,0.03591706,0.386943678,0.626314977,1.488433839
ID207084,207084,0,12.32670975,10.93710754,18.78795287,0,246,82,0.25,1,,26.59016393,25,17,38,1622,4.64175631,295.9508197,298,214,399,18053,42.42107426,55.18032787,47,22,116,3366,27.70349448,,,-0.112810042,-1.456799612,0.045591061,0.608395112,0.554532465,1.421041952
ID207384,207384,0,10.79777908,10.9736686,18.782373,0,249,83,0.25,1,,26.14754098,24,19,38,1595,5.467589553,270.6065574,270,167,385,16507,52.29508539,50.42622951,37,21,112,3076,24.697813,,,-0.124599284,-1.361361901,0.008638008,0.088631014,0.543210528,1.437378003
ID207577,207577,0,12.68402958,10.93942537,18.83974243,0,252,84,0.25,1,,26.29508197,27,14,38,1604,5.245138264,299.3606557,294,214,399,18261,43.27856775,57.37704918,53,21,131,3500,26.76450631,,,-0.087366526,-0.959834276,0.053575927,0.703486381,0.584508854,1.581631813
ID207686,207686,0,13.05648994,10.9618005,18.84215182,0,255,85,0.25,1,,25.95081967,26,17,34,1583,3.730175284,303.9180328,303,193,390,18539,39.77867732,58.6557377,49,21,130,3578,27.86568095,,,-0.107098619,-1.668907281,0.063891413,0.91765897,0.581355053,1.547686155
ID207486,207486,0,9.691095352,10.97853894,18.80417106,0,258,86,0.25,1,,28.42622951,27,16,47,1734,6.822655926,282,273,197,383,17202,47.12005942,47.90163934,39,25,106,2922,21.93908606,,,-0.108118534,-1.010156805,0.032870298,0.380917678,0.513766815,1.482070658
ID207784,207784,0,10.26228809,10.9270793,18.79552885,0,261,87,0.25,1,,26.40983607,25,19,40,1611,4.495838999,270.9344262,270,176,362,16527,39.85384501,50.42622951,43,21,107,3076,21.63520204,,,-0.12761375,-1.718595255,0.026924739,0.356481376,0.543210528,1.6408487
